Alimento,Categoria,Quant. (g),Energia (kcal),CHO (g),PTN (g),LIP (g),Fibra (g),Colesterol (mg),AG-Sat. (g),AG-Mono. (g),AG-Poli. (g),? 6 (g),? 3 (g),AG-trans (g),Ca (mg),Mg (mg),Mn (mcg),P (mg),Fe (mg),Na (mg),K (mg),Cu (mg),Zn (mg),Sel (mcg),Vit. A (mcg),Vit. B1 (mg),Vit. B2 (mg),Vit. B3 (mg),Vit. B5 (mg),Vit. B6 (mg),Vit. B12 (mcg),Vit. B9 (mcg),Vit. D (mcg),Vit. E (mg),Vit. C (mg)
Abacate,Frutas,100,75.00,5.84,1.15,6.21,4.03,0.00,1.70,3.18,1.04,1.58,0.10,0.00,7.16,17.00,0.15,18.50,0.17,0.00,174.00,0.12,0.23,0.20,3.11,0.00,0.04,0.00,-,0.00,0.00,41.50,0.00,0.02,7.32
Abacaxi (polpa),Frutas,100,49.00,11.60,0.68,0.33,1.12,0.00,0.02,0.03,0.10,0.02,0.02,0.00,18.40,16.60,1.49,10.50,0.47,2.84,137.00,0.12,0.15,0.41,1.00,0.17,0.02,0.00,-,0.00,0.00,11.30,0.00,0.05,33.10
Abiu,Frutas,100,65.00,14.90,0.83,0.70,1.70,0.00,0.30,0.10,0.10,0.10,0.02,0.00,5.78,9.30,0.08,20.30,0.16,0.00,128.00,0.09,0.10,0.00,0.00,0.00,0.04,0.00,-,0.05,0.00,0.00,0.00,0.00,10.30
Açaí,Frutas,100,67.00,7.66,0.90,5.01,5.89,0.00,1.01,3.43,0.32,0.00,0.00,0.00,20.80,20.90,7.57,20.20,0.59,1.69,110.00,0.20,0.23,0.70,14.30,0.00,0.04,0.00,-,0.08,0.00,0.00,0.00,14.80,42.00
Acerola,Frutas,100,30.00,6.89,0.71,0.38,1.75,0.00,0.09,0.10,0.11,0.05,0.04,0.00,36.80,10.90,0.05,21.40,0.00,0.67,138.00,0.05,0.11,0.58,103.00,0.00,0.07,0.69,-,0.00,0.00,13.60,0.00,0.00,1505.00
Ameixa,Frutas,100,54.00,13.80,0.77,0.00,2.43,0.00,0.00,0.00,0.00,0.04,0.00,0.00,5.72,5.48,0.03,13.90,0.10,0.00,134.00,0.06,0.05,0.00,15.20,0.07,0.00,0.00,-,0.03,0.00,5.95,0.00,0.05,7.63
Ameixa seca,Frutas,100,253.00,63.90,2.18,0.38,7.10,0.00,0.09,0.05,0.06,0.04,0.00,0.00,43.00,41.00,0.30,69.00,0.93,2.00,732.00,0.28,0.44,0.30,39.00,0.05,0.19,1.88,-,0.21,0.00,4.00,0.00,0.43,0.60
Amora preta,Frutas,100,35.00,6.74,1.39,0.49,0.49,0.00,0.01,0.05,0.28,0.19,0.09,0.00,21.80,15.00,0.00,16.50,0.47,0.75,121.00,0.00,0.40,0.00,11.00,0.02,0.02,0.49,-,0.02,0.00,18.80,0.00,1.17,15.80
Atemóia,Frutas,100,103.00,25.30,0.97,0.30,2.14,0.00,0.10,0.00,0.10,0.05,0.04,0.00,22.80,24.80,0.16,23.40,0.16,0.79,300.00,0.17,0.19,0.00,0.00,0.09,0.07,1.58,-,0.07,0.00,0.00,0.00,0.00,10.10
Banana da terra (assada),Frutas,100,164.00,39.70,1.69,0.28,1.80,0.00,0.09,0.00,0.00,0.05,0.03,0.00,3.67,34.90,0.19,30.10,0.35,0.00,348.00,0.04,0.06,0.19,119.00,0.03,0.02,0.00,-,0.16,0.00,20.40,0.00,0.09,14.90
